basin,unique_mmsi,vessel_days_share
ARS,7861,0.037188117824816444
BOB,4283,0.007510273613450601
CAR,5568,0.03193017373865015
EAO,6129,0.020045279640378215
EIO,10545,0.05739523762667229
EPO,5063,0.01964326867926776
MED,12320,0.21033208630094244
NAO,9901,0.089520428759903
NPO,8424,0.12576760788588845
SAO,6213,0.03735894011525609
SEA,18143,0.30392716480636794
SIO,6627,0.049853324261652815
SOO,1477,0.002526244000585214
SPO,2475,0.007001852746168596
