scale,unit,var,model,ssp,year,E_annual
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2090,8.325187397159018
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2091,8.679627033943618
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2092,6.676945578645047
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2093,10.84348020395176
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2094,6.244337457085845
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2095,8.831860564323405
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2096,5.0167794096728935
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2097,6.904381741726267
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2098,7.484348020394388
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2099,5.309200235642344
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2100,5.7973063562671205
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2026,5.422776118795861
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2027,7.597212911612555
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2028,6.625774473357259
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2029,7.303857639099608
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2030,3.782314583459876
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2031,6.068803705282923
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2032,8.403701220873664
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2033,5.709813720112285
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2034,6.73906595973675
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2035,5.747252524020599
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2036,7.196050947649809
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2037,4.580189733275925
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2038,4.298433786336278
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2039,5.923822292643479
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2040,6.256830601092165
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2041,6.026164503219132
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2042,5.941901801855961
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2043,7.453389400125019
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2044,8.193247608019043
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2045,4.8040303085699545
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2046,4.678164421962918
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2047,6.182420216547096
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2048,4.414691124788745
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2049,5.746318077477044
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2050,7.457005301967545
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2051,6.038596705059441
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2052,5.335791334023366
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2053,5.774513986226333
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2054,6.355313141161583
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2055,6.376419444612885
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2056,9.254778881507082
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2057,4.868263351412283
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2058,7.324699859832165
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2059,5.959737542404813
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2060,4.6282527881035405
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2061,6.7897495276973885
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2062,7.550551526600392
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2063,6.174599305258496
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2064,6.126333109877914
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2065,4.429195360269234
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2066,6.293659983341668
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2067,6.429500071098364
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2068,6.997399800921343
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2069,6.097751234078137
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2070,6.41113616511178
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2071,6.986470839172757
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2072,5.906392833200566
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2073,7.128973937066207
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2074,8.538302151257383
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2075,6.381762041155502
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2076,9.33284579600511
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2077,5.781969244519559
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2078,4.939525057386582
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2079,11.25026916123131
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2080,6.588132528895987
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2081,4.263595181505536
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2082,4.9368436020876905
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2083,7.248014301094052
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2084,5.9104353302042245
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2085,5.841265971925227
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2086,6.944502000933518
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2087,5.50285412476826
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2088,4.858532918925988
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2089,5.71239360513472
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2090,6.469782842748128
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2091,6.937310825359164
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2092,6.274463201088055
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2093,4.9111056940291
corridor,NE_ASIA_LALB,wave,masnum,SSP2-4.5,2094,4.00270176935369
