kind,unit,var,model,ssp,period,year,E_annual,traffic_coverage
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2036,3.475075481736873,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2037,4.157396841909124,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2038,5.145734877227259,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2039,3.811216450144204,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2040,3.5209826033633216,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2041,4.67661423522941,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2042,4.433891260357711,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2043,3.6365229534059664,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2044,3.135968486799576,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2045,2.9520867471549965,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2046,3.681831995059858,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2047,4.405902545969603,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2048,4.110759257512685,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2049,5.46352863691556,1.0
basin,SAO,wind,cmcc_cm2_sr5,SSP5-8.5,2030-2054,2050,2.4559193015615897,1.0
