threshold,category,n,odds_ratio,or_lo,or_hi,or_p,ame_pp,ame_lo,ame_hi,ame_p,hci,hci_lo,hci_hi,hci_p,ame_counterfactual,n_obs,n_reference,pseudo_r2,ols_r2
Extreme,Wind-only extremes,524,1.8702190759091573,1.565898916010443,2.2336814695586487,4.873297466932473e-12,14.987563804476551,10.796291753844947,19.178835855108154,2.4065874789949224e-12,0.034677814802034135,-0.1793011416868279,0.24865677129089617,0.7507616012134182,15.088495831620074,15396,14279,0.029468709589643538,0.0031479289947596856
Extreme,Wave-only extremes,247,2.232940731494557,1.7191626112909195,2.900263347760594,1.7296076852686049e-09,19.074501443481886,13.118642110440021,25.030360776523747,3.4501653801174945e-10,0.28186062779115423,0.05904471676764564,0.5046765388146628,0.013162530856580318,19.25496563260262,15396,14279,0.029468709589643538,0.0031479289947596856
Extreme,Compound extremes,346,2.753464278607592,2.178785197947204,3.479721424907413,2.2465362776795445e-17,23.804651900186,18.73354100496564,28.875762795406352,3.566120778630909e-20,1.121601969431214,0.39730318813938525,1.8459007507230427,0.002404777046863848,23.979454340246054,15396,14279,0.029468709589643538,0.0031479289947596856
Severe extreme,Wind-only extremes,255,1.925500023798189,1.4951753042737093,2.479676015949041,3.8381855330560816e-07,15.706625769381802,9.76179291809628,21.651458620667324,2.2385784015194336e-07,0.4409969011290694,-0.42203029318198737,1.304024095440126,0.3165760090092298,15.780254946703748,15396,14889,0.02670956488367493,0.002961706457344393
Severe extreme,Wave-only extremes,110,2.8359939510913,1.898996778678613,4.235321397555472,3.5050495654024926e-07,24.41597152665406,15.855813548705683,32.97612950460244,2.2659016074339764e-08,0.6108961679079609,0.1247312203491942,1.0970611154667276,0.013785089519989796,24.56483295219394,15396,14889,0.02670956488367493,0.002961706457344393
Severe extreme,Compound extremes,142,3.4666744766464226,2.3305134388500512,5.156731442390533,8.466624709545907e-10,28.593548118049945,20.70879529227274,36.47830094382714,1.1800711833028534e-12,1.244827999376835,0.4922552775967419,1.997400721156928,0.0011870659569311003,28.736332707534228,15396,14889,0.02670956488367493,0.002961706457344393
